jacoco,Covered,Missed
2023-04-14T14:55,74.0,20.0
2023-04-14T14:59,74.0,20.0
2023-04-14T15:01,74.0,20.0
2023-04-14T15:06,74.0,20.0
2023-04-14T15:14,74.0,20.0
2023-04-14T15:20,74.0,20.0
2023-04-18T19:08,74.0,24.0
2023-04-19T15:09,74.0,26.0
2023-04-19T19:44,76.0,26.0
2023-04-19T21:33,76.0,26.0
2023-04-19T21:37,76.0,26.0
2023-04-19T21:50,76.0,26.0
2023-04-19T21:54,76.0,26.0
2023-04-19T22:00,76.0,26.0
2023-04-19T22:06,76.0,26.0
2023-04-19T22:09,76.0,32.0
2023-04-20T16:04,78.0,32.0
2023-04-20T16:16,78.0,34.0
2023-04-20T17:36,78.0,32.0
2023-04-20T18:14,78.0,34.0
2023-04-20T19:54,80.0,44.0
2023-04-20T21:44,84.0,44.0
2023-04-21T01:05,84.0,46.0
2023-04-21T14:18,84.0,46.0
2023-04-23T18:56,84.0,46.0
2023-04-23T19:22,84.0,46.0
2023-04-24T15:54,84.0,50.0
2023-04-24T20:14,84.0,50.0
2023-04-25T00:54,84.0,50.0
