pmd,Violations
12345,62.0
12345,62.0
2023-04-13T21:51,62.0
2023-04-14T13:18,62.0
2023-04-14T13:24,62.0
2023-04-14T13:32,62.0
2023-04-14T13:42,62.0
2023-04-14T14:00,62.0
2023-04-14T14:08,62.0
2023-04-14T14:18,62.0
2023-04-14T14:47,62.0
2023-04-14T14:55,62.0
2023-04-14T14:59,62.0
2023-04-14T15:01,62.0
2023-04-14T15:06,62.0
2023-04-14T15:14,62.0
2023-04-14T15:20,62.0
2023-04-18T19:08,64.0
2023-04-19T15:09,66.0
2023-04-19T19:44,66.0
2023-04-19T21:33,66.0
2023-04-19T21:37,66.0
2023-04-19T21:50,66.0
2023-04-19T21:54,66.0
2023-04-19T22:00,66.0
2023-04-19T22:06,66.0
2023-04-19T22:09,69.0
2023-04-20T16:04,72.0
2023-04-20T16:16,74.0
2023-04-20T17:36,72.0
2023-04-20T18:14,74.0
2023-04-20T19:54,75.0
2023-04-20T21:44,74.0
2023-04-21T01:05,75.0
2023-04-21T14:18,75.0
2023-04-23T18:56,75.0
2023-04-23T19:22,75.0
2023-04-24T15:54,87.0
